name,crossings,dt_code
8_10,8,
16nh_0000283,16,lkjihOMpdcabNGEF
16nh_0000528,16,kJIoHpLFDBnMGAce
16nh_0001517,16,emgKoHbJnFCpDial
16nh_0004208,16,emnGlJHCopFiabdk
16nh_0004220,16,jEhiOmKpcdLGnfAB
16nh_0004219,16,jDiOhmKebpLGnfAC
16nh_0005679,16,mINAGlDFkBpheOCj
16nh_0005680,16,mFNAkhBpJLeIdOCg
16nh_0006075,16,kgOPiCjLdbnMHaFE
16nh_0007179,16,ejpKbGNimaDOhFLc
16nh_0007180,16,jDiOHmKEbpLGnfAC
16nh_0007460,16,jHnMAIClOpDgkFbE
16nh_0008364,16,jEFiOBmKpdLHngAC
16nh_0008365,16,epNOaGMilDBhFKCJ
16nh_0008645,16,dkMoFJpNLEaIBHcg
16nh_0009835,16,enlHpGKDOMFaIbJC
16nh_0010278,16,mEplINADkGchjOFb
16nh_0010279,16,eHnLbGIAFkpMDocj
16nh_0011131,16,fieLomHKaNGPCbJd
16nh_0011837,16,johpbmKcEaLGnfId
16nh_0011838,16,lIHOMpjABkfgNECD
16nh_0011928,16,mfeHlabDjpNcgOKi
16nh_0011929,16,inopblJEaKGmfHdc
16nh_0013258,16,bkDIPMNOLCHaJFGE
16nh_0015356,16,lJHMiOBKdFGaNCPE
16nh_0016369,16,jEpOHmKBDcLGnfAI
16nh_0016370,16,diNaFMhlCpogEKBj
16nh_0017729,16,mfDHlaeCjpNgbOKi
16nh_0017730,16,jCFOIBmKEpLHngAD
16nh_0018914,16,liEOPKJMFaHbNGCD
16nh_0023064,16,lkeopHJMbaFiNGcd
16nh_0023182,16,dNMpFLhkACgEJOBI
16nh_0023183,16,lFGBkADCOMpeNJHI
16nh_0023643,16,hKoINlBaJDGmfPcE
16nh_0027169,16,nGPIldBKFOmHeaJC
16nh_0027266,16,lKfJMhbpDCIoNEAg
16nh_0027939,16,kEiNjAOLpdbMHFCG
16nh_0028116,16,iLdnGpMBaKOHEcJf
16nh_0030589,16,mIfepcKAlGNbhOJd
16nh_0031067,16,iNhMflJpbKGeOCAD
16nh_0031066,16,kiobNLJEpGaFHDMc
16nh_0031526,16,fcoJMpHKEnGaiDbl
16nh_0032085,16,edPkjGNimabohFlC
16nh_0032086,16,hOfkIcnmJEldapBg
16nh_0033174,16,jHePgmcIBoLNfKaD
16nh_0035154,16,jePiomKBcdLGnfaH
16nh_0035155,16,dNOjFHlIEaMgPCBK
16nh_0038442,16,ndOhklmbaPgefiCJ
16nh_0040189,16,dnojFHlIEaMgPcbK
16nh_0040190,16,hgkoMNabJLpFIEcd
16nh_0040816,16,kNGIpCJLEFoMHABd
16nh_0041342,16,ihgLJpnbaKECDofm
16nh_0041785,16,kHdnLijOBfpMEcAG
16nh_0041786,16,jnIemKhpCoLFdabg
16nh_0042132,16,cgmEJHIaFDnopbkl
16nh_0042133,16,koaGHNCDELpMJFIb
16nh_0042134,16,fdaHbpILCMNOGJKe
16nh_0044617,16,mlHaNkIPBOdfcJEG
16nh_0045513,16,biMKLpoejahDNCgf
16nh_0045529,16,gkHepmlJNCaboIfd
16nh_0045828,16,jigNpldbahMOeCKf
16nh_0045970,16,nHPJOkIBMLDfGaEC
16nh_0048568,16,inHPaLEOdKMFJGbC
16nh_0048786,16,mgkjNHblDpcfaOEi
16nh_0049046,16,gDjFmBpIKcHNeOLa
16nh_0049047,16,kHEjBCnAFpdMOgLi
16nh_0049048,16,gEjAMBpIKcHfoDln
16nh_0051246,16,eLoHpGJDMFAnIbkc
16nh_0056940,16,fMoJapHKDnGcBile
16nh_0057631,16,lGipKJAMbNOcFHEd
16nh_0058265,16,ehFlnGCmdOPIbaKJ
16nh_0058360,16,kMLGAHJCoFpDNBEi
16nh_0058746,16,hDkABonmJLcIpfge
16nh_0058747,16,fdKacpJMNLOBIHGe
16nh_0058748,16,dnmlFKIJoGEpbcah
16nh_0059499,16,nEIJgOalmCPBhdFK
16nh_0060445,16,fnoJCpHKMDGEaIbl
16nh_0062007,16,jfhkONplDaMcgIEb
16nh_0062173,16,gjEHCmoIDnfPKbaL
16nh_0062925,16,ndkPijOlmebfhaGC
16nh_0064928,16,kcfJLbhpNEaMDOIg
16nh_0064929,16,jeKaibOmfdLCnhPG
16nh_0066770,16,lIeKhbOdfMCpNJAG
16nh_0067563,16,nkEHPMLCOGFaJbID
16nh_0068491,16,gnLJpkoIMDCfHabe
16nh_0071893,16,cjiENLMokabhFDpg
16nh_0071972,16,dmgpFJaKNEOHIbLc
16nh_0073294,16,eJpomGLikAhFbdcn
16nh_0073293,16,hDkABponJLcIegmf
16nh_0073295,16,iopNHLJMaKGFECDb
16nh_0076779,16,ihLJgonmaKDBCpef
16nh_0077907,16,hnpkICobJEldFgam
16nh_0077908,16,jMKFHNpEOgLCABDI
16nh_0079460,16,nhgOajbclmPfieDK
16nh_0080350,16,ejdnpGMilaOhFcKb
16nh_0080351,16,hmGnkICpJFleaodb
16nh_0080500,16,lHGJpCKBMEFoNIAd
16nh_0081273,16,lHFJpBCKMEGoNIAd
