name,crossings,dt_code
8_20,8,
16nh_0000011,16,gNMLKJpIOFEDCBHa
16nh_0000364,16,lHGOKJCBMFEpNIAD
16nh_0000792,16,eKJMaGLPONBDFCIH
16nh_0000899,16,cmkEIPOLNDGbHaJF
16nh_0000921,16,iNhglJdcpKFmeOAB
16nh_0000920,16,dONjFHlIEaMgPCBK
16nh_0001192,16,gljOkNbIMpdfaHEC
16nh_0001234,16,hgjNpldaMciOeBKf
16nh_0001429,16,hDfOgcnaJLpMIeBk
16nh_0001430,16,ecnLaGIpJFoMDbkh
16nh_0002429,16,gljNkObIMpfdaHEC
16nh_0002637,16,mjFEPCLKNGaIbOHD
16nh_0002750,16,cmkEIPONLDGaHbJF
16nh_0003697,16,jFEiOBmKpdLHngAC
16nh_0003698,16,epONaGMilDBhFKCJ
16nh_0003957,16,iONAHlJEpKGmfCBD
16nh_0003958,16,fepKbaHNjmDOiGLc
16nh_0004162,16,kiopNJHLaFbMGDEc
16nh_0004163,16,jFiEOCmKbpLHngAD
16nh_0004337,16,kNMiLHoJdFaEPBgC
16nh_0004581,16,mlfepcIKNbaGjOHd
16nh_0004671,16,djFpHClENaMgOIKb
16nh_0004670,16,diFpGlCNMaHeOJKb
16nh_0005155,16,hONMAkIpJGlfDCBE
16nh_0005156,16,hgfpMcbaJOlnEkId
16nh_0005157,16,hoaMLKIpJGNEDCFb
16nh_0005264,16,lIHOMJakBFCgNEPD
16nh_0005543,16,jHfmKcioBpLEndag
16nh_0005973,16,kEJBnIpLGCoMHAdf
16nh_0006412,16,kNJfAbLipCoMGdEh
16nh_0006544,16,cilEJPNOMaDHbKGF
16nh_0007036,16,mlINFPDBkGahjOCE
16nh_0007204,16,mEDPBLKJGNHFaOIC
16nh_0007644,16,dimlFJOPNaEHcbKG
16nh_0007858,16,jhobNIKpEaLFGDMc
16nh_0007857,16,kidpNHJLbFaMGOEc
16nh_0008153,16,jGePfcImBoLNhKaD
16nh_0008154,16,gENjABpIKdHmoClf
16nh_0008155,16,kHnAGjDFBpeMOcLi
16nh_0008156,16,lGIOKJCMBFEpNHAD
16nh_0009647,16,ecnIaGMkDOlhFpbJ
16nh_0009648,16,dIomFLjANkgEpHcb
16nh_0009725,16,hKJEOlBpCmGnifDa
16nh_0011316,16,moKpaNjECBfIdHGl
16nh_0011378,16,kEnAIBpjgDhMOcLf
16nh_0011379,16,jGIFoCDmBpLNhKae
16nh_0011380,16,fCEoBkHJmGaNiPdL
16nh_0011514,16,njifOhmdcbaPgkEL
16nh_0011968,16,fDoKJpHNlABmiGce
16nh_0011969,16,kOjFABhnLcpMIgDE
16nh_0012179,16,kNjFIOCLEpbMHAGD
